COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,DRUG_ID,DRUG_NAME,LN_IC50,AUC,Z_SCORE,GDSC Tissue descriptor 1,GDSC Tissue descriptor 2,Cancer Type (matching TCGA label),Microsatellite instability Status (MSI),Screen Medium,Growth Properties,CNA,Gene Expression,Methylation,TARGET,TARGET_PATHWAY
683667,PFSK-1,MB,1003,Camptothecin,-1.463887,0.93022,0.433123,nervous_system,medulloblastoma,MB,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
684057,ES5,UNCLASSIFIED,1003,Camptothecin,-3.360586,0.791072,-0.599569,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
684059,ES7,UNCLASSIFIED,1003,Camptothecin,-5.04494,0.59266,-1.516647,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
684062,EW-11,UNCLASSIFIED,1003,Camptothecin,-3.741991,0.734047,-0.807232,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
684072,SK-ES-1,UNCLASSIFIED,1003,Camptothecin,-5.142961,0.582439,-1.570016,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent,Y,Y,Y,TOP1,DNA replication
687448,COLO-829,SKCM,1003,Camptothecin,-1.235034,0.867348,0.557727,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687452,5637,BLCA,1003,Camptothecin,-2.632632,0.834067,-0.203221,,,,,,,,,,TOP1,DNA replication
687455,RT4,BLCA,1003,Camptothecin,-2.963191,0.821438,-0.3832,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687457,SW780,BLCA,1003,Camptothecin,-1.449138,0.90505,0.441154,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687459,TCCSUP,BLCA,1003,Camptothecin,-2.350633,0.84343,-0.049682,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687505,C-33-A,CESC,1003,Camptothecin,-3.380879,0.777806,-0.610618,urogenital_system,cervix,CESC,MSI-H,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687506,C-4-I,CESC,1003,Camptothecin,-2.25569,0.891103,0.002012,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687514,ME-180,CESC,1003,Camptothecin,-3.22391,0.786658,-0.525153,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687561,42-MG-BA,GBM,1003,Camptothecin,-3.40022,0.777517,-0.621149,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687562,8-MG-BA,GBM,1003,Camptothecin,-4.256286,0.693915,-1.087249,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687563,A172,GBM,1003,Camptothecin,-2.999552,0.803407,-0.402998,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687568,GB-1,GBM,1003,Camptothecin,-3.0555,0.7719,-0.43346,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687586,T98G,GBM,1003,Camptothecin,-2.060218,0.888774,0.10844,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687588,U-118-MG,GBM,1003,Camptothecin,-3.354018,0.748266,-0.595993,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687590,U-87-MG,GBM,1003,Camptothecin,-2.45087,0.841792,-0.104258,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687592,YKG-1,GBM,1003,Camptothecin,-2.784359,0.824085,-0.285832,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687596,ChaGo-K-1,UNCLASSIFIED,1003,Camptothecin,0.528845,0.9835,1.518103,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687600,NCI-H720,UNCLASSIFIED,1003,Camptothecin,0.532792,0.984692,1.520252,lung_NSCLC,lung_NSCLC_carcinoid,,MSS/MSI-L,D/F12,Suspension,Y,Y,Y,TOP1,DNA replication
687777,Calu-3,LUAD,1003,Camptothecin,-1.629546,0.863243,0.342928,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687780,COR-L23,UNCLASSIFIED,1003,Camptothecin,-1.76208,0.88234,0.270767,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687787,LK-2,LUSC,1003,Camptothecin,-1.157607,0.922968,0.599884,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687794,NCI-H1437,LUAD,1003,Camptothecin,-1.839524,0.90013,0.228601,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,N,Y,TOP1,DNA replication
